year,pmid,author,coauthor,apid,cpid
2009-01-06T00:00:00,19124948,Dieter Georg Haemmerich,Marvin Michael Swindle,2244,3129
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Carl  Atkinson,1961,1792
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Prabhakar K. Baliga,1961,1817
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Hilary Jo Bernstein,1961,1850
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Eric D. Bolin,1961,1869
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Charles F. Bratton,1961,1892
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Julie  Chao,1961,1955
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,C. Lindsay L Devane,1961,2061
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,David N. Lewin,1961,2542
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Harold D. May,1961,2615
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,John W. Mcgillicuddy,1961,2636
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Henry B. Othersen,1961,2783
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Adrian  Reuben,1961,2881
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Michael G. Schmidt,1961,2971
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Rick G Schnellmann,1961,2973
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Demetri D. Spyropoulos,1961,3079
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,William David Stoll,1961,3103
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Abby Jo Swanson Kazley,1961,3126
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Ira R. Willner,1961,3279
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Hongjun  Wang,1961,3444
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Venkat Krishnan Ramshesh,1961,3530
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,William R. Hand,1961,3567
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Sachin Kantilal Patel,1961,3599
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,David J. Taber,1961,3643
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Titte Rajagopal Srinivas,1961,3764
2009-01-06T00:00:00,19185566,Kenneth D. Chavin,Satish N. Nadig,1961,3910
2009-01-07T00:00:00,19127062,Inderjit  Singh,Eugene Y. Chang,3036,1954
2009-01-07T00:00:00,19127062,Inderjit  Singh,Dorothea Denise Jenkins,3036,2378
2009-01-07T00:00:00,19127062,Inderjit  Singh,Mushfiquddin  Khan,3036,2440
2009-01-07T00:00:00,19127062,Inderjit  Singh,Harold D. May,3036,2615
2009-01-07T00:00:00,19127062,Inderjit  Singh,G. Shashidhar Shashidhar Pai,3036,2791
2009-01-07T00:00:00,19127062,Inderjit  Singh,Avtar K. Singh,3036,3034
2009-01-07T00:00:00,19127062,Inderjit  Singh,Balasubramaniam  Annamalai,3036,4022
2009-01-07T00:00:00,19127062,Inderjit  Singh,Manjeet Kaur Paintlia,3036,4076
2009-01-07T00:00:00,19127062,Inderjit  Singh,Mauhamad  Baarine,3036,4090
2009-01-07T00:00:00,19127062,Inderjit  Singh,Tajinder Singh Dhammu,3036,4154
2009-01-07T00:00:00,19127062,Inderjit  Singh,Sarumathi  Mohan,3036,4371
2009-01-07T00:00:00,19127062,Inderjit  Singh,Anandakumar  Shunmugavel,3036,4407
2009-01-07T00:00:00,19166836,Elena Maria Vazey,Stephen V. Mahler,4051,4148
2009-01-07T00:00:00,19195794,Sarah W. Book,Jeffrey S. Cluver,1875,1989
2009-01-07T00:00:00,19195794,Sarah W. Book,Joshua Paul Smith,1875,2403
2009-01-07T00:00:00,19195794,Sarah W. Book,Patrick K. Randall,1875,2853
2009-01-07T00:00:00,19195794,Sarah W. Book,Suzanne Thomas Withers,1875,3155
2009-01-07T00:00:00,19195794,Sarah W. Book,Joseph P. Schacht,1875,4071
2009-01-07T00:00:00,19195794,Patrick K. Randall,Raymond F. Anton,2853,1774
2009-01-07T00:00:00,19195794,Patrick K. Randall,Sarah W. Book,2853,1875
2009-01-07T00:00:00,19195794,Patrick K. Randall,Ann-charlotte E. Granholm-bentley,2853,2220
2009-01-07T00:00:00,19195794,Patrick K. Randall,William Clyde Griffin,2853,2228
2009-01-07T00:00:00,19195794,Patrick K. Randall,Joshua Paul Smith,2853,2403
