year,pmid,author,coauthor,apid,cpid
2007-01-02T00:00:00,17197173,Bruce W. Hollis,Sebastiano  Gattoni-celli,2322,2188
2007-01-02T00:00:00,17197173,Bruce W. Hollis,Donna D. Johnson,2322,2398
2007-01-02T00:00:00,17197173,Bruce W. Hollis,David T. Marshall,2322,2602
2007-01-02T00:00:00,17197173,Bruce W. Hollis,Stephen J. Savage,2322,2959
2007-01-02T00:00:00,17197173,Bruce W. Hollis,Sarah N. Taylor,2322,3141
2007-01-02T00:00:00,17197173,Bruce W. Hollis,Carol L. Wagner,2322,3229
2007-01-03T00:00:00,17203016,Mark S. George,James H. Abernathy,2195,1728
2007-01-03T00:00:00,17203016,Mark S. George,Berry S. Anderson,2195,1763
2007-01-03T00:00:00,17203016,Mark S. George,Jeffrey J. Borckardt,2195,1876
2007-01-03T00:00:00,17203016,Mark S. George,Colleen Ann Hanlon,2195,1925
2007-01-03T00:00:00,17203016,Mark S. George,Harry A. Demos,2195,2056
2007-01-03T00:00:00,17203016,Mark S. George,Edward Mark Kantor,2195,2125
2007-01-03T00:00:00,17203016,Mark S. George,Mark B Hamner,2195,2257
2007-01-03T00:00:00,17203016,Mark S. George,Karen J. Hartwell,2195,2277
2007-01-03T00:00:00,17203016,Mark S. George,Vanessa K. Hinson,2195,2309
2007-01-03T00:00:00,17203016,Mark S. George,Xingbao  Li,2195,2554
2007-01-03T00:00:00,17203016,Mark S. George,Patrick Mahlen O'neil,2195,2778
2007-01-03T00:00:00,17203016,Mark S. George,Christopher G. Pelic,2195,2805
2007-01-03T00:00:00,17203016,Mark S. George,Scott T. Reeves,2195,2872
2007-01-03T00:00:00,17203016,Mark S. George,Donna Rae Roberts,2195,2901
2007-01-03T00:00:00,17203016,Mark S. George,Ryan J. Gunselman,2195,2931
2007-01-03T00:00:00,17203016,Mark S. George,Edward Baron Short,2195,3021
2007-01-03T00:00:00,17203016,Mark S. George,Arthur R. Smith,2195,3048
2007-01-03T00:00:00,17203016,Mark S. George,Kenneth M. Spicer,2195,3074
2007-01-03T00:00:00,17203016,Mark S. George,Kelly Stephenson Barth,2195,3089
2007-01-03T00:00:00,17203016,Mark S. George,Istvan  Takacs,2195,3133
2007-01-03T00:00:00,17203016,Mark S. George,Thomas I. Epperson,2195,3159
2007-01-03T00:00:00,17203016,Mark S. George,Truman Roscoe Brown,2195,3176
2007-01-03T00:00:00,17203016,Mark S. George,James J. Prisciandaro,2195,3676
2007-01-03T00:00:00,17203016,Mark S. George,Sarah Louise Logan,2195,4362
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Matthew J. Carpenter,1751,1936
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Elizabeth Garrett Mayer,1751,2116
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Marvella Elizabeth Ford,1751,2166
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Elizabeth G. Hill,1751,2306
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Kent Edward Armeson,1751,2424
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Jeffrey E. Korte,1751,2469
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Katherine Regan Sterba,1751,2480
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Kristin  Wallace,1751,2485
2007-01-04T00:00:00,17204516,Anthony J. Alberg,David N. Lewin,1751,2542
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Susan Gayle Reed,1751,2870
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Kenneth Michael Cummings,1751,3469
2007-01-04T00:00:00,17204516,Anthony J. Alberg,Graham Walter Warren,1751,3660
2007-01-04T00:00:00,17204545,Monika  Gooz,Phillip D. Bell,1836,1843
2007-01-04T00:00:00,17204545,Monika  Gooz,Courtney J. Haycraft,1836,1980
2007-01-04T00:00:00,17204545,Monika  Gooz,Maria Nikolaevna Garnovskaya,1836,2184
2007-01-04T00:00:00,17204545,Monika  Gooz,Adam J. Smolka,1836,3058
2007-01-04T00:00:00,17204545,Monika  Gooz,Takamitsu  Saigusa,1836,3756
2007-01-04T00:00:00,17204545,Monika  Gooz,Yongren  Wu,1836,4401
2007-01-04T00:00:00,17204545,Adam J. Smolka,Jeremy L. Barth,3058,1825
2007-01-04T00:00:00,17204545,Adam J. Smolka,Monika  Gooz,3058,1836
