year,pmid,author,coauthor,apid,cpid
2010-01-04T00:00:00,19946903,Andrew Gregory Tennyson,Rhett C Smith,4471,4716
2010-01-04T00:00:00,20045663,Andrew Booth Lawson,David Gerhard Hoel,1729,2315
2010-01-04T00:00:00,20045663,Andrew Booth Lawson,Bidyut K. Mohanty,1729,2688
2010-01-04T00:00:00,20045663,Andrew Booth Lawson,Caitlyn Nicole Ellerbe,1729,4412
2010-01-04T00:00:00,20045663,Andrew Booth Lawson,John E. Vena,1729,3975
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,John A. Bosso,2945,1878
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Joseph R. Cantey,2945,1931
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,L. W. Preston Church,2945,1976
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Deborah Julia Dewaay,2945,2062
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Gweneth B. Lazenby,2945,2521
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Camelia  Marculescu,2945,2599
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Michael G. Schmidt,2945,2971
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,David E. Soper,2945,3068
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Lisa L. Steed,2945,3087
2010-01-04T00:00:00,20059572,Cassandra D. Salgado,Andrew E. Morgan,2945,4192
2010-01-04T00:00:00,20366357,Michael R. Gold,Salvatore  Chiaramida,2209,1971
2010-01-04T00:00:00,20366357,Michael R. Gold,Frank A. Cuoco,2209,2030
2010-01-04T00:00:00,20366357,Michael R. Gold,Valerian  Fernandes,2209,2151
2010-01-04T00:00:00,20366357,Michael R. Gold,Nancy Judson Finch,2209,2155
2010-01-04T00:00:00,20366357,Michael R. Gold,David  Gregg,2209,2226
2010-01-04T00:00:00,20366357,Michael R. Gold,Robert B. Leman,2209,2534
2010-01-04T00:00:00,20366357,Michael R. Gold,Rupak D. Mukherjee,2209,2720
2010-01-04T00:00:00,20366357,Michael R. Gold,Christopher D. Nielsen,2209,2750
2010-01-04T00:00:00,20366357,Michael R. Gold,John L. Sturdivant,2209,3112
2010-01-04T00:00:00,20366357,Michael R. Gold,Marian H. Taylor,2209,3140
2010-01-04T00:00:00,20366357,Michael R. Gold,John Marcus Wharton,2209,3264
2010-01-04T00:00:00,20366357,Michael R. Gold,Dannah W. Wray,2209,3295
2010-01-04T00:00:00,20366357,Michael R. Gold,Eva R. Serber,2209,3548
2010-01-04T00:00:00,20366357,Michael R. Gold,Anil B. Rajendra,2209,3796
2010-01-04T00:00:00,21122784,Jane M. Charles,Laura Arnstein Carpenter,1960,1937
2010-01-04T00:00:00,21122784,Jane M. Charles,Kirk Allen Meekins,1960,2414
2010-01-04T00:00:00,21122784,Jane M. Charles,Michelle M. Macias,1960,2580
2010-01-04T00:00:00,21122784,Jane M. Charles,Eve G. Spratt,1960,3076
2010-01-04T00:00:00,21122784,Jane M. Charles,Daynna J. Wolff,1960,3285
2010-01-04T00:00:00,21122784,Jane M. Charles,Sarah Louise Logan,1960,4362
2010-01-05T00:00:00,20052414,Viswanathan  Palanisamy,Sundaravadivel  Balasubramanian,3217,3114
2010-01-05T00:00:00,20052414,Viswanathan  Palanisamy,Hong  Yu,3217,3574
2010-01-05T00:00:00,20052414,Viswanathan  Palanisamy,Reniqua  House,3217,4378
2010-01-06T00:00:00,20052466,Aaron P. Lesher,Andre  Hebra,4236,1767
2010-01-06T00:00:00,20052466,Aaron P. Lesher,Katherine H. Chessman,4236,1967
2010-01-06T00:00:00,20052466,Aaron P. Lesher,Christian J. Streck,4236,1981
2010-01-06T00:00:00,20052466,Aaron P. Lesher,Sherron M. Jackson,4236,2357
2010-01-06T00:00:00,20052466,Aaron P. Lesher,Stephen I. Schabel,4236,2962
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Anthony J. Alberg,1936,1751
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Kevin M. Gray,1936,2222
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Amy Elizabeth Herrin Wahlquist,1936,2299
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Steven D. Larowe,1936,2512
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Michael E. Saladin,1936,2942
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Elisabeth L Kryway,1936,3418
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Kenneth Michael Cummings,1936,3469
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Luca  Paoletti,1936,3727
2010-01-06T00:00:00,20053788,Matthew J. Carpenter,Erin A. Mcclure,1936,3836
2010-01-06T00:00:00,20053788,Kevin M. Gray,Matthew J. Carpenter,2222,1936
2010-01-06T00:00:00,20053788,Kevin M. Gray,Karen J. Hartwell,2222,2277
2010-01-06T00:00:00,20053788,Kevin M. Gray,Steven D. Larowe,2222,2512
2010-01-06T00:00:00,20053788,Kevin M. Gray,Nathaniel Lee Baker,2222,2733
2010-01-06T00:00:00,20053788,Kevin M. Gray,Michael E. Saladin,2222,2942
2010-01-06T00:00:00,20053788,Kevin M. Gray,Elisabeth L Kryway,2222,3418
2010-01-06T00:00:00,20053788,Kevin M. Gray,Kenneth Michael Cummings,2222,3469
2010-01-06T00:00:00,20053788,Kevin M. Gray,Cassandra D. Gipson,2222,4035
2010-01-06T00:00:00,20053788,Kevin M. Gray,Vitria  Adisetiyo,2222,4157
2010-01-06T00:00:00,20053788,Kevin M. Gray,Erin A. Mcclure,2222,3836
2010-01-06T00:00:00,20053811,Maria Vittoria Spampinato,Sameer Vijay Tipnis,3072,2953
2010-01-06T00:00:00,20053811,Maria Vittoria Spampinato,Stephen Leonard Kinsman,3072,3101
2010-01-06T00:00:00,20053811,Maria Vittoria Spampinato,Terry C. Dixon,3072,3142
2010-01-06T00:00:00,20053811,Maria Vittoria Spampinato,Zeke J. Walton,3072,4394
2010-01-06T00:00:00,20059662,Michaella Maloney Prasad,Sandip Madhavareddy Prasad,3711,3748
2010-01-06T00:00:00,20059662,Sandip Madhavareddy Prasad,Stephen J. Savage,3748,2959
2010-01-06T00:00:00,20059662,Sandip Madhavareddy Prasad,Michaella Maloney Prasad,3748,3711
2010-01-06T00:00:00,20206891,Jean M. Nappi,John A. Bosso,2735,1878
2010-01-06T00:00:00,20206891,Jean M. Nappi,Laurine T. Charles,2735,1959
2010-01-06T00:00:00,20206891,Jean M. Nappi,Marian H. Taylor,2735,3140
2010-01-06T00:00:00,20206891,Jean M. Nappi,Peter L Zwerner,2735,3329
2010-01-07T00:00:00,20054577,Badih J. Elmunzer,Gregory Andrew Cote,4184,4212
2010-01-07T00:00:00,20056928,Bruce I. Ovbiagele,Marc Ivor Chimowitz,3620,2663
2010-01-07T00:00:00,20056928,Bruce I. Ovbiagele,Robert Joseph Adams,3620,2894
2010-01-07T00:00:00,20056928,Bruce I. Ovbiagele,Steven A. Kautz,3620,3099
2010-01-07T00:00:00,20056928,Bruce I. Ovbiagele,Wu Wei  Feng,3620,3426
2010-01-07T00:00:00,20056928,Bruce I. Ovbiagele,Andrea D. Boan,3620,4002
2010-01-07T00:00:00,20056957,Kenneth Michael Cummings,Anthony J. Alberg,3469,1751
2010-01-07T00:00:00,20056957,Kenneth Michael Cummings,Matthew J. Carpenter,3469,1936
2010-01-07T00:00:00,20056957,Kenneth Michael Cummings,Graham Walter Warren,3469,3660
2010-01-07T00:00:00,20056957,Kenneth Michael Cummings,Luca  Paoletti,3469,3727
2010-01-07T00:00:00,20056958,Alan C. Finley,Thomas E. Brothers,1732,1897
2010-01-07T00:00:00,20056958,Alan C. Finley,Charles S. Greenberg,1732,2025
2010-01-07T00:00:00,20056958,Alan C. Finley,Bruce M. Elliott,1732,2118
2010-01-07T00:00:00,20056958,Alan C. Finley,Larry C. Field,1732,2154
2010-01-07T00:00:00,20056958,Alan C. Finley,George J. Guldan,1732,2236
2010-01-07T00:00:00,20056958,Alan C. Finley,David N. Lewin,1732,2542
2010-01-07T00:00:00,20056958,Alan C. Finley,Scott T. Reeves,1732,2872
2010-01-07T00:00:00,20056958,Alan C. Finley,Mario Augusto Castillo-sang,1732,3699
2010-01-07T00:00:00,20139699,Harry Adolph Drabkin,Patrick  Nasarre,2243,2793
2010-01-07T00:00:00,20139699,Harry Adolph Drabkin,Robert M. Gemmill,2243,2906
2010-01-07T00:00:00,20139699,Harry Adolph Drabkin,Philip Henry Howe,2243,3522
2010-01-07T00:00:00,20139699,Patrick  Nasarre,Harry Adolph Drabkin,2793,2243
2010-01-07T00:00:00,20139699,Patrick  Nasarre,Robert M. Gemmill,2793,2906
2010-01-07T00:00:00,20139699,Patrick  Nasarre,Philip Henry Howe,2793,3522
2010-01-08T00:00:00,20061412,Bruce W. Hollis,Sebastiano  Gattoni-celli,2322,2188
2010-01-08T00:00:00,20061412,Bruce W. Hollis,Donna D. Johnson,2322,2398
2010-01-08T00:00:00,20061412,Bruce W. Hollis,David T. Marshall,2322,2602
2010-01-08T00:00:00,20061412,Bruce W. Hollis,Stephen J. Savage,2322,2959
2010-01-08T00:00:00,20061412,Bruce W. Hollis,Sarah N. Taylor,2322,3141
2010-01-08T00:00:00,20061412,Bruce W. Hollis,Carol L. Wagner,2322,3229
2010-01-08T00:00:00,20062810,Mark S. Kindy,Carl  Atkinson,2445,1792
2010-01-08T00:00:00,20062810,Mark S. Kindy,Narayan R. Bhat,2445,1853
2010-01-08T00:00:00,20062810,Mark S. Kindy,Sebastiano  Gattoni-celli,2445,2188
2010-01-08T00:00:00,20062810,Mark S. Kindy,Tatyana Ivan Gudz,2445,2234
2010-01-08T00:00:00,20062810,Mark S. Kindy,David T. Marshall,2445,2602
2010-01-08T00:00:00,20062810,Mark S. Kindy,Kumar  Sambamurti,2445,2948
2010-01-08T00:00:00,20062810,Mark S. Kindy,Stephen  Tomlinson,2445,3168
2010-01-11T00:00:00,20005327,Stephen E Creager,Harold D. May,4730,2615
2010-01-11T00:00:00,20005327,Stephen E Creager,Konstantin German Kornev,4730,4620
2010-01-11T00:00:00,20005327,Stephen E Creager,Robert A Latour,4730,4628
2010-01-11T00:00:00,20064838,Kenneth Michael Cummings,Anthony J. Alberg,3469,1751
2010-01-11T00:00:00,20064838,Kenneth Michael Cummings,Matthew J. Carpenter,3469,1936
2010-01-11T00:00:00,20064838,Kenneth Michael Cummings,Graham Walter Warren,3469,3660
2010-01-11T00:00:00,20064838,Kenneth Michael Cummings,Luca  Paoletti,3469,3727
2010-01-11T00:00:00,20064953,Juan Carlos Q. Velez,Michael Gregory Janech,3212,2362
2010-01-11T00:00:00,20064953,Juan Carlos Q. Velez,John M. Arthur,3212,4
2010-01-11T00:00:00,20064953,John M. Arthur,Milos N Budisavljevic,4,1910
2010-01-11T00:00:00,20064953,John M. Arthur,Michael Gregory Janech,4,2362
2010-01-11T00:00:00,20064953,John M. Arthur,James C. Oates,4,2766
2010-01-11T00:00:00,20064953,John M. Arthur,Juan Carlos Q. Velez,4,3212
2010-01-11T00:00:00,20064953,John M. Arthur,Nithin  Karakala,4,3717
2010-01-11T00:00:00,20064953,John M. Arthur,Benjamin Adam Neely,4,4109
2010-01-11T00:00:00,20064953,John M. Arthur,Ningfei  An,4,4111
2010-01-11T00:00:00,20065032,Joe Boyd Blumer,Scott T. Eblen,1863,2104
2010-01-11T00:00:00,20065032,Joe Boyd Blumer,Elizabeth Ellen Jones,1863,4050
2010-01-11T00:00:00,20065032,Joe Boyd Blumer,Ningfei  An,1863,4111
2010-01-11T00:00:00,20065032,Joe Boyd Blumer,Zhiwei  Ye,1863,4403
2010-01-11T00:00:00,20065032,Ningfei  An,Joe Boyd Blumer,4111,1863
2010-01-11T00:00:00,20065032,Ningfei  An,Sandeep  Mahajan,4111,4093
2010-01-11T00:00:00,20065203,Elaine  Amella,Mark H. Delegge,1759,2054
2010-01-11T00:00:00,20065203,Elaine  Amella,Jerome E Kurent,1759,2490
2010-01-11T00:00:00,20065203,Elaine  Amella,Charlene A. Pope,1759,2826
2010-01-11T00:00:00,20065203,Elaine  Amella,Jane M. Zapka,1759,3320
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Elaine  Amella,2108,1759
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Bonnie Pleasants Dumas,2108,1884
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Brian Thomas Conner,2108,1908
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Teresa J. Kelechi,2108,2427
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Margaret P. Spain,2108,3071
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Tiffany H. Williams,2108,3276
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Terri Olivia Fowler,2108,3618
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Catherine Oconnor Durham,2108,3631
2010-01-12T00:00:00,20047247,Barbara J. Edlund,Kristen Mcdaniel Poston,2108,4355
2010-01-12T00:00:00,20066500,Paul Edward O'brien,Keisuke  Shirai,2768,3017
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Aiping  Bai,1854,1806
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Alicja  Bielawska,1854,1855
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Lauren Ashley Cowart,1854,2012
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Tatyana Ivan Gudz,1854,2234
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Yi-te  Hsu,1854,2335
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Jacqueline M. Kraveka,1854,2477
2010-01-12T00:00:00,20068046,Jacek  Bielawski,James Scott Norris,1854,2759
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Paul Edward O'brien,1854,2768
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Besim  Ogretmen,1854,2772
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Zdzislaw  Szulc,1854,3131
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Hong  Yu,1854,3574
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Mehrdad  Rahmaniyan,1854,4123
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Salih  Gencer,1854,4129
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Wei  Sun,1854,4146
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Michael Steven Valerio,1854,4245
2010-01-12T00:00:00,20068046,Jacek  Bielawski,Joshua  Oaks,1854,4349
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Aiping  Bai,3131,1806
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Jacek  Bielawski,3131,1854
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Alicja  Bielawska,3131,1855
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Besim  Ogretmen,3131,2772
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Salih  Gencer,3131,4129
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Wei  Sun,3131,4146
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Venkatesh  Kota,3131,4156
2010-01-12T00:00:00,20068046,Zdzislaw  Szulc,Joshua  Oaks,3131,4349
2010-01-12T00:00:00,20068046,Wei  Sun,Jacqueline F. Mcginty,4146,2638
2010-01-12T00:00:00,20068046,Wei  Sun,Zdzislaw  Szulc,4146,3131
2010-01-12T00:00:00,20068046,Wei  Sun,Bruce H. Thiers,4146,3149
2010-01-12T00:00:00,20068067,Harry Adolph Drabkin,Patrick  Nasarre,2243,2793
2010-01-12T00:00:00,20068067,Harry Adolph Drabkin,Robert M. Gemmill,2243,2906
2010-01-12T00:00:00,20068067,Harry Adolph Drabkin,Philip Henry Howe,2243,3522
2010-01-12T00:00:00,20068067,Robert M. Gemmill,Harry Adolph Drabkin,2906,2243
2010-01-12T00:00:00,20068067,Robert M. Gemmill,Patrick  Nasarre,2906,2793
2010-01-12T00:00:00,20068067,Robert M. Gemmill,Philip Henry Howe,2906,3522
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Sudie  Back,2623,1801
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Dean G. Kilpatrick,2623,2443
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Heidi S Resnick,2623,2879
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Kenneth J. Ruggiero,2623,2926
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Tatiana M. Davidson,2623,3763
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Zachary W. Adams,2623,4300
2010-01-12T00:00:00,20068115,Jenna L. Mccauley,Julianne C. Flanagan,2623,3877
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Robert Neal Axon,2190,1796
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Thierry  Bacro,2190,1802
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Cheryl Patrice Lynch,2190,2014
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Leonard Ehianu Egede,2190,2113
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Marvella Elizabeth Ford,2190,2166
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Bonnie B Harris,2190,2272
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Kelly Jean Hunt,2190,2341
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Janice D. Key,2190,2437
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Linda Dowdee Marsh,2190,2605
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Jill G. Mauldin,2190,2610
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Patrick D. Mauldin,2190,2612
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Martina  Mueller,2190,2718
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Peter L Zwerner,2190,3329
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Chanita Ann Hughes Halbert,2190,3381
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Nichole Tripician Tanner,2190,3562
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Kenneth I. Vaden,2190,4079
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,Caitlyn Nicole Ellerbe,2190,4412
2010-01-12T00:00:00,20069625,Mulugeta Gebreselassie Gebregziabher,David M Neyens,2190,4512
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Carolyn M. Jenkins,2141,2380
2010-01-12T00:00:00,20070976,Frank Anton Treiber,John W. Mcgillicuddy,2141,2636
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Martina  Mueller,2141,2718
2010-01-12T00:00:00,20070976,Frank Anton Treiber,John L. Waller,2141,3237
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Deborah C. Williamson,2141,3280
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Sachin Kantilal Patel,2141,3599
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Justin B. Moore,2141,4422
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Alexey Alexandrovich Vertegel,2141,4766
2010-01-12T00:00:00,20070976,Frank Anton Treiber,Mathew Jon Gregoski,2141,3907
2010-01-12T00:00:00,20074790,John Michael Kilby,Wei  Jiang,2392,3767
2010-01-12T00:00:00,20074790,John Michael Kilby,Zhenwu  Luo,2392,4402
2010-01-13T00:00:00,20056238,Sarah H. Mennito,Deborah Anne Bowlby,2651,1880
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Megan K. Baker,2116,1813
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Harry S. Clarke,2116,1982
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Harry Adolph Drabkin,2116,2243
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Philip D. Hall,2116,2249
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Jennifer L. Harper,2116,2271
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Amy Elizabeth Herrin Wahlquist,2116,2299
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Joseph M. Jenrette,2116,2382
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Omar Mohamed Moussa,2116,2706
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Patrick  Nasarre,2116,2793
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Robert M. Gemmill,2116,2906
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Anand K. Sharma,2116,3007
2010-01-13T00:00:00,20069435,Elizabeth Garrett Mayer,Carol A. Sherman,2116,3016
