year,pmid,author,coauthor,apid,cpid
2008-01-02T00:00:00,18171996,Rick G Schnellmann,Craig C. Beeson,2973,1838
2008-01-02T00:00:00,18171996,Rick G Schnellmann,Andrew K. Gelasco,2973,2193
2008-01-02T00:00:00,18171996,Rick G Schnellmann,John E. Oatis,2973,2767
2008-01-02T00:00:00,18171996,Rick G Schnellmann,Zhi  Zhong,2973,3323
2008-01-02T00:00:00,18171996,Rick G Schnellmann,Christopher Charles Lindsey,2973,3382
2008-01-02T00:00:00,18171996,Rick G Schnellmann,Benjamin Adam Neely,2973,4109
2008-01-02T00:00:00,18172066,Louis J. Guillette,Satomi  Kohno,2556,2940
2008-01-02T00:00:00,18172066,Louis J. Guillette,Benjamin B. Parrott,2556,4025
2008-01-02T00:00:00,18172066,Louis J. Guillette,Lori  Cruze,2556,3894
2008-01-02T00:00:00,18172066,Satomi  Kohno,Louis J. Guillette,2940,2556
2008-01-02T00:00:00,18172066,Satomi  Kohno,Benjamin B. Parrott,2940,4025
2008-01-02T00:00:00,18172066,Satomi  Kohno,Lori  Cruze,2940,3894
2008-01-03T00:00:00,18171088,Timothy A Devol,Brian A. Powell,4508,4483
2008-01-03T00:00:00,18171088,Timothy A Devol,Julia Lynn Sharp,4508,4604
2008-01-03T00:00:00,18171088,Timothy A Devol,Scott M Husson,4508,4736
2008-01-03T00:00:00,18172738,Marvella Elizabeth Ford,Anthony J. Alberg,2166,1751
2008-01-03T00:00:00,18172738,Marvella Elizabeth Ford,Katherine Regan Sterba,2166,2480
2008-01-03T00:00:00,18172738,Marvella Elizabeth Ford,Kristin  Wallace,2166,2485
2008-01-03T00:00:00,18172738,Marvella Elizabeth Ford,Sabra C. Slaughter,2166,3044
2008-01-03T00:00:00,18172738,Marvella Elizabeth Ford,David P. Turner,2166,3184
2008-01-03T00:00:00,18172738,Marvella Elizabeth Ford,Chanita Ann Hughes Halbert,2166,3381
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Phillippe B. Cunningham,2293,2029
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Michael R. Mccart,2293,2622
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Jeff  Randall,2293,2852
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Melisa D. Rowland,2293,2918
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Cindy M. Schaeffer,2293,2965
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Sonja K. Schoenwald,2293,2976
2008-01-03T00:00:00,18172769,Scott W. Henggeler,Cynthia Cupit Swenson,2293,3127
2008-01-03T00:00:00,18175214,Zachary W. Adams,Cassandra D. Gipson,4300,4035
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Andrew Booth Lawson,2306,1729
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Donald O. Castell,2306,1943
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Eric M. Matheson,2306,2127
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Donna D. Johnson,2306,2398
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Kent Edward Armeson,2306,2424
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Keith Lough Kirkwood,2306,2457
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Michele C. Ravenel,2306,2858
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Carlos F. Salinas,2306,2946
2008-01-04T00:00:00,18173221,Elizabeth G. Hill,Adam J. Smolka,2306,3058
